259,1,2,0.000000912,658,WS,243790576,8
259,1,5,0.000006761,658,WS,243790584,8
259,1,8,0.000008170,658,WS,243790592,8
259,1,11,0.000008463,658,WS,243790600,8
259,1,14,0.000008746,658,WS,243790608,8
259,1,17,0.000009018,658,WS,243790616,8
259,1,20,0.000009282,658,WS,243790624,8
259,1,23,0.000009551,658,WS,243790632,8
259,1,26,0.000009826,658,WS,243790640,8
259,1,29,0.000010088,658,WS,243790648,8
259,1,32,0.000010355,658,WS,243790656,8
259,1,35,0.000010622,658,WS,243790664,8
259,1,38,0.000010891,658,WS,243790672,8
259,1,41,0.000011149,658,WS,243790680,8
259,1,44,0.000011429,658,WS,243790688,8
259,1,47,0.000011698,658,WS,243790696,8
259,1,54,0.005576820,658,FWFS,243790704,8
259,1,2,1.535985303,22934,W,71605832,16
259,1,5,1.535994975,22934,WM,465569920,8
259,1,9,1.536001057,22934,WM,465635584,8
259,1,13,1.536006984,22934,W,2048,8
259,1,17,1.536008156,22934,WM,2072,8
259,1,21,1.536010175,22934,WM,2192,8
259,1,25,1.536011434,22934,WM,2200,8
259,1,28,1.536012789,22934,WM,2216,8
259,1,32,1.536014060,22934,WM,2272,8
259,1,36,1.536015270,22934,WM,33556488,8
259,1,40,1.536017195,22934,WM,289409128,8
259,1,44,1.536018444,22934,WM,310380608,8
259,1,48,1.536019732,22934,WM,335546376,8
259,1,2,5.887969281,658,WS,243790712,8
259,1,5,5.887972914,658,WS,243790720,8
259,1,8,5.887973961,658,WS,243790728,8
259,1,11,5.887974300,658,WS,243790736,8
259,1,18,5.893611266,658,FWFS,243790744,8
259,1,25,6.659974720,22934,W,33832608,8
259,1,28,6.659978397,22934,W,71605840,8
259,1,32,6.659985553,22934,WM,2088,8
259,1,36,6.659986582,22934,WM,71305224,8
259,1,47,11.775959452,22934,W,33832608,8
259,1,50,11.775977802,22934,W,33832616,8
259,1,57,11.781513362,658,FWFS,243790784,8
259,1,61,11.776028052,658,WS,243790752,8
259,1,64,11.776029549,658,WS,243790760,8
259,1,67,11.776030107,658,WS,243790768,8
259,1,70,11.776030393,658,WS,243790776,8
259,1,77,16.895964432,20608,WM,2072,8
259,1,80,16.895970289,20608,WM,33556488,8
259,1,84,16.895977754,20608,W,33832616,8
259,1,64,16.895969113,658,WS,243790792,8
259,1,67,16.895970776,658,WS,243790800,8
259,1,94,16.901493262,658,FWFS,243790808,8
259,1,2,22.015989130,20608,W,465832952,8
259,1,5,22.015995746,20608,W,33832616,8
259,1,14,22.021604908,658,FWFS,243790848,8
259,1,101,22.016005981,658,WS,243790816,8
259,1,104,22.016007602,658,WS,243790824,8
259,1,107,22.016008686,658,WS,243790832,8
259,1,110,22.016008973,658,WS,243790840,8
259,1,2,27.141607957,658,WS,243790856,8
259,1,5,27.141609476,658,WS,243790864,8
259,1,8,27.141610463,658,WS,243790872,8
259,1,11,27.141610746,658,WS,243790880,8
259,1,18,27.141649935,658,FWFS,243790888,8
259,1,21,27.135955924,20608,WM,465569800,8
259,1,24,27.135963588,20608,WM,2272,8
259,1,28,27.135970537,20608,W,465832952,8
259,1,38,27.141567924,20608,W,465832960,8
259,1,74,32.261620929,658,WS,243790896,8
259,1,77,32.261622424,658,WS,243790904,8
259,1,80,32.261623326,658,WS,243790912,8
259,1,83,32.261623619,658,WS,243790920,8
259,1,90,32.261685683,658,FWFS,243790928,8
259,1,25,32.255961369,20608,WM,2272,8
259,1,28,32.255965808,20608,WM,465569800,8
259,1,32,32.255974559,20608,W,465832960,8
259,1,42,32.261581330,20608,W,465841768,8
259,1,97,37.371076813,24558,R,314440928,256
259,1,98,37.371078879,24558,R,314440928,256
259,1,99,37.371081092,24558,N,[java],
259,1,100,37.371081490,24558,R,314440928,256
259,1,101,37.371085372,24558,R,314440928,256
259,1,117,37.374730553,24558,R,314441184,256
259,1,118,37.374731814,24558,R,314441184,256
259,1,119,37.374733057,24558,N,[java],
259,1,120,37.374733306,24558,R,314441184,256
259,1,121,37.374735759,24558,R,314441184,256
259,1,123,37.376963890,20608,W,33832624,8
